	full_img_path	annotation	x	y	width	height
79	Data/annotations/csv/06-20 Product1/IMG_20210618_165534.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.500000	0.547188	0.196246	0.409829
76	Data/annotations/csv/06-20 Product1/IMG_20210618_165527.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.460423	0.598071	0.371315	0.726698
92	Data/annotations/csv/06-20 Product1/IMG_20210618_165537.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.487980	0.549640	0.196246	0.393712
98	Data/annotations/csv/06-20 Product1/IMG_20210618_165538.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.493824	0.548037	0.195265	0.389015
104	Data/annotations/csv/06-20 Product1/IMG_20210618_165540.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.503289	0.543475	0.190113	0.386805
111	Data/annotations/csv/06-20 Product1/IMG_20210618_165541.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.508452	0.556777	0.185207	0.379437
73	Data/annotations/csv/06-20 Product1/IMG_20210618_165526.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.428979	0.576674	0.389282	0.746484
116	Data/annotations/csv/06-20 Product1/IMG_20210618_165542.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.532507	0.550738	0.186434	0.392331
85	Data/annotations/csv/06-20 Product1/IMG_20210618_165535.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.473085	0.556835	0.205062	0.397166
831	Data/annotations/csv/06-20 Product1/IMG_20210618_165732.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.485389	0.415720	0.180301	0.399698
121	Data/annotations/csv/06-20 Product1/IMG_20210618_165543.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.550620	0.539356	0.187660	0.391410
134	Data/annotations/csv/06-20 Product1/IMG_20210618_165547.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.447167	0.513763	0.181527	0.365438
142	Data/annotations/csv/06-20 Product1/IMG_20210618_165548.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.407672	0.527229	0.185207	0.365623
150	Data/annotations/csv/06-20 Product1/IMG_20210618_165549.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.444423	0.553951	0.175640	0.358807
158	Data/annotations/csv/06-20 Product1/IMG_20210618_165551.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.449628	0.559843	0.176621	0.354387
167	Data/annotations/csv/06-20 Product1/IMG_20210618_165552.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.441540	0.580374	0.181527	0.357334
176	Data/annotations/csv/06-20 Product1/IMG_20210618_165553.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.512997	0.560930	0.187660	0.357334
183	Data/annotations/csv/06-20 Product1/IMG_20210618_165554.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.571174	0.561926	0.190113	0.359176
190	Data/annotations/csv/06-20 Product1/IMG_20210618_165601.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.559272	0.491383	0.262556	0.535310
194	Data/annotations/csv/06-20 Product1/IMG_20210618_165603.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.585083	0.494653	0.243391	0.525237
198	Data/annotations/csv/06-20 Product1/IMG_20210618_165603__01.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.575011	0.486456	0.256806	0.543944
911	Data/annotations/csv/06-20 Product1/IMG_20210618_165742.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.485818	0.395544	0.126382	0.277026
202	Data/annotations/csv/06-20 Product1/IMG_20210618_165605.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.554865	0.479854	0.262556	0.555456
924	Data/annotations/csv/06-20 Product1/IMG_20210618_165744.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.510372	0.398685	0.126382	0.274079
126	Data/annotations/csv/06-20 Product1/IMG_20210618_165546.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.468978	0.511278	0.181527	0.358255
64	Data/annotations/csv/06-20 Product1/IMG_20210618_165523.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.423943	0.522736	0.392875	0.762673
67	Data/annotations/csv/06-20 Product1/IMG_20210618_165524.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.416618	0.527836	0.402457	0.780661
958	Data/annotations/csv/06-20 Product1/IMG_20210618_165954.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.421017	0.457271	0.521039	0.914542
1	Data/annotations/csv/06-20 Product1/IMG_20210618_165457.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.477388	0.544362	0.433600	0.859806
5	Data/annotations/csv/06-20 Product1/IMG_20210618_165458 (1).JPG	9702910116_THERABREATH ORAL RINSE MINT	0.456937	0.543386	0.431204	0.892184
8	Data/annotations/csv/06-20 Product1/IMG_20210618_165458.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.457205	0.549316	0.426413	0.883190
11	Data/annotations/csv/06-20 Product1/IMG_20210618_165459.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.473313	0.526994	0.424018	0.893982
14	Data/annotations/csv/06-20 Product1/IMG_20210618_165500.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.464496	0.520002	0.455160	0.935354
17	Data/annotations/csv/06-20 Product1/IMG_20210618_165501.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.439904	0.524290	0.450369	0.951419
20	Data/annotations/csv/06-20 Product1/IMG_20210618_165502.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.447344	0.495737	0.479116	0.991473
23	Data/annotations/csv/06-20 Product1/IMG_20210618_165504.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.434689	0.507196	0.471929	0.955140
26	Data/annotations/csv/06-20 Product1/IMG_20210618_165505.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.394548	0.504036	0.485105	0.984820
29	Data/annotations/csv/06-20 Product1/IMG_20210618_165506.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.435435	0.513430	0.476122	0.973140
947	Data/annotations/csv/06-20 Product1/IMG_20210618_165746.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.596091	0.400309	0.130307	0.280562
32	Data/annotations/csv/06-20 Product1/IMG_20210618_165508.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.355234	0.505906	0.416831	0.888586
36	Data/annotations/csv/06-20 Product1/IMG_20210618_165510.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.387331	0.527209	0.416232	0.888136
40	Data/annotations/csv/06-20 Product1/IMG_20210618_165511.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.399307	0.525196	0.424018	0.904775
44	Data/annotations/csv/06-20 Product1/IMG_20210618_165512.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.402276	0.517758	0.425215	0.935354
48	Data/annotations/csv/06-20 Product1/IMG_20210618_165514.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.421728	0.495701	0.434199	0.969081
51	Data/annotations/csv/06-20 Product1/IMG_20210618_165515.JPG	9702910116_THERABREATH ORAL RINSE MINT	0.484843	0.500076	0.443182	0.994713
